mrscid,mrsname,cumatrixid,cumatrixtitle,cumatrixgrpids,cumatrixtags,posterid,timestamp,logdate
43B12440,,00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1567337895572,2019-09-01
7F314389,,00000168EB35DA05000000026375706F795F72656C656173654355,李宏毅_第一堂深度學習課,"['tech_tw', 'robot_tw']",['empty'],B0310653,1567352557711,2019-09-01
05D14150,,000001697FB74EB0000000026375706F795F72656C656173654355,李宏毅_強化學習（Reinforce Learning）,"['tech_tw', 'robot_tw']",['機器學習'],6CA10149,1567340097994,2019-09-01
36E14265,,000001699E6396C0000000046375706F795F72656C656173654355,李宏毅_基礎線性代數,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1567302952446,2019-09-01
6B915036,,0000015CCB6E61F80000000A6375706F795F72656C656173654355,Mickeyworks米哥開封體驗,"['3CExpert_tw', 'tech_tw', '3c_tw']","['生活', '產品體驗', '科技產品']",97210140,1567412642704,2019-09-02
6B915036,,00000160DF5CBA63000000036375706F795F72656C656173654355,必然_精選導讀,['tech_tw'],"['未來趨勢', '科技', '網路']",96910144,1567412569157,2019-09-02
empty,,00000165F64C90C2000000016375706F795F70726572656C656173654355,莫煩_Scikit-learn python數據科學入門,"['tech_tw', 'robot_tw']","['sklearn', '機器學習']",B0310653,1567439099806,2019-09-02
6B915036,,00000167E4306181000000026375706F795F72656C656173654355,彭彭老師_Python 入門教學 從初學到精通,"['tech_tw', 'robot_tw']",['python'],B0310653,1567412424328,2019-09-02
BB614585,,00000168E4E001DA000000016375706F795F72656C656173654355, 李宏毅_機器學習基礎與應用,['empty'],['empty'],B0310653,1567423930101,2019-09-02
60413965,,000001699E6396C0000000046375706F795F72656C656173654355,李宏毅_基礎線性代數,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1567415941550,2019-09-02
BB614585,,000001699E6396C0000000046375706F795F72656C656173654355,李宏毅_基礎線性代數,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1567429169930,2019-09-02
BFF14983,,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1567473162600,2019-09-03
BFF14983,,000001697FB74EB0000000026375706F795F72656C656173654355,李宏毅_強化學習（Reinforce Learning）,"['tech_tw', 'robot_tw']",['機器學習'],6CA10149,1567473249207,2019-09-03
BFF14983,,000001699E6396C0000000046375706F795F72656C656173654355,李宏毅_基礎線性代數,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1567473191351,2019-09-03
BFF14983,,000001699E6396C0000000046375706F795F72656C656173654355,李宏毅_基礎線性代數,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1567473280223,2019-09-03
