pvnum,visitduration,logdate
156,5825,2019-06-23
177,29817,2019-06-24
145,5119,2019-06-25
91,1995,2019-06-26
106,1560,2019-06-27
95,711,2019-06-28
63,1264,2019-06-29
160,2790,2019-06-30
155,7421,2019-07-01
129,2130,2019-07-02
171,5647,2019-07-03
146,5594,2019-07-04
91,3768,2019-07-05
67,812,2019-07-06
59,903,2019-07-07
134,3947,2019-07-08
74,314,2019-07-09
111,1517,2019-07-10
111,3710,2019-07-11
83,3216,2019-07-12
105,4183,2019-07-13
93,5730,2019-07-14
113,3190,2019-07-15
141,2777,2019-07-16
191,4793,2019-07-17
113,3286,2019-07-18
120,3436,2019-07-19
79,1689,2019-07-20
136,8185,2019-07-21
136,4451,2019-07-22
140,7560,2019-07-23
115,1851,2019-07-24
163,3514,2019-07-25
129,6050,2019-07-26
81,4565,2019-07-27
92,5859,2019-07-28
170,3175,2019-07-29
150,7877,2019-07-30
141,1658,2019-07-31
482,18296,2019-08-01
256,13829,2019-08-02
234,33699,2019-08-03
176,2228,2019-08-04
342,13030,2019-08-05
149,9557,2019-08-06
212,15394,2019-08-07
149,12199,2019-08-08
242,11663,2019-08-09
177,16802,2019-08-10
217,11470,2019-08-11
197,3762,2019-08-12
244,5975,2019-08-13
197,6275,2019-08-14
159,6842,2019-08-15
140,9407,2019-08-16
125,1888,2019-08-17
147,3977,2019-08-18
224,3905,2019-08-19
149,4856,2019-08-20
111,1412,2019-08-21
194,4698,2019-08-22
91,3409,2019-08-23
83,3103,2019-08-24
203,19816,2019-08-25
346,25658,2019-08-26
301,19978,2019-08-27
199,6470,2019-08-28
469,17898,2019-08-29
179,11044,2019-08-30
104,6446,2019-08-31
121,2492,2019-09-01
136,2062,2019-09-02
132,8013,2019-09-03
291,37031,2019-09-04
155,4572,2019-09-05
