assistid,pvnum,visitduration,logdate,loghour
ai_tw,12,1329,2019-06-30,6
ai_tw,15,3871,2019-06-30,7
ai_tw,2,33,2019-06-30,8
ai_tw,5,62,2019-06-30,9
ai_tw,8,365,2019-06-30,10
ai_tw,32,4277,2019-06-30,11
ai_tw,3,67,2019-06-30,12
ai_tw,18,1970,2019-06-30,13
ai_tw,8,51,2019-06-30,14
ai_tw,10,294,2019-06-30,15
ai_tw,11,2709,2019-06-30,16
ai_tw,22,342,2019-06-30,17
ai_tw,3,66,2019-06-30,18
ai_tw,10,1514,2019-06-30,19
ai_tw,8,349,2019-06-30,21
ai_tw,3,17,2019-06-30,22
ai_tw,3,35,2019-06-30,23
ai_tw,1,0,2019-07-01,0
ai_tw,9,195,2019-07-01,8
ai_tw,10,2288,2019-07-01,9
ai_tw,58,2621,2019-07-01,10
ai_tw,12,144,2019-07-01,11
ai_tw,9,1120,2019-07-01,12
ai_tw,5,28,2019-07-01,13
ai_tw,1,157,2019-07-01,15
ai_tw,23,1507,2019-07-01,16
ai_tw,32,1275,2019-07-01,17
ai_tw,21,2166,2019-07-01,18
ai_tw,24,750,2019-07-01,19
ai_tw,29,3050,2019-07-01,20
ai_tw,34,2393,2019-07-01,21
ai_tw,24,1251,2019-07-01,22
ai_tw,36,3170,2019-07-01,23
ai_tw,8,467,2019-07-02,0
ai_tw,35,758,2019-07-02,1
ai_tw,1,336,2019-07-02,4
ai_tw,3,39,2019-07-02,5
ai_tw,8,1427,2019-07-02,6
ai_tw,1,0,2019-07-02,7
ai_tw,4,369,2019-07-02,8
ai_tw,24,1416,2019-07-02,9
ai_tw,56,3359,2019-07-02,10
ai_tw,60,3686,2019-07-02,11
ai_tw,67,4328,2019-07-02,12
ai_tw,65,4967,2019-07-02,13
ai_tw,73,3409,2019-07-02,14
ai_tw,80,5128,2019-07-02,15
ai_tw,131,8484,2019-07-02,16
ai_tw,74,6054,2019-07-02,17
ai_tw,79,5313,2019-07-02,18
ai_tw,4,46,2019-07-02,19
ai_tw,36,1078,2019-07-02,20
ai_tw,51,3138,2019-07-02,21
ai_tw,54,2590,2019-07-02,22
ai_tw,14,378,2019-07-02,23
ai_tw,2,348,2019-07-03,0
ai_tw,1,6,2019-07-03,1
ai_tw,2,1045,2019-07-03,2
ai_tw,32,2313,2019-07-03,3
ai_tw,5,370,2019-07-03,4
ai_tw,11,88,2019-07-03,8
ai_tw,15,423,2019-07-03,10
ai_tw,14,516,2019-07-03,11
ai_tw,13,2227,2019-07-03,12
ai_tw,12,1062,2019-07-03,13
ai_tw,29,525,2019-07-03,14
ai_tw,68,1131,2019-07-03,15
ai_tw,14,1568,2019-07-03,16
ai_tw,50,4596,2019-07-03,17
ai_tw,157,6539,2019-07-03,18
ai_tw,15,239,2019-07-03,19
ai_tw,17,956,2019-07-03,20
ai_tw,25,280,2019-07-03,21
ai_tw,10,1299,2019-07-03,22
ai_tw,25,1094,2019-07-03,23
ai_tw,9,173,2019-07-04,0
ai_tw,14,183,2019-07-04,9
ai_tw,30,257,2019-07-04,10
ai_tw,29,3235,2019-07-04,11
ai_tw,21,252,2019-07-04,12
ai_tw,36,3369,2019-07-04,13
ai_tw,55,3320,2019-07-04,14
ai_tw,25,4697,2019-07-04,15
ai_tw,118,4773,2019-07-04,16
ai_tw,15,1382,2019-07-04,17
ai_tw,58,3188,2019-07-04,18
ai_tw,16,643,2019-07-04,19
ai_tw,22,2492,2019-07-04,20
ai_tw,35,3015,2019-07-04,21
ai_tw,37,5059,2019-07-04,22
ai_tw,33,2691,2019-07-04,23
ai_tw,28,3866,2019-07-05,0
ai_tw,48,4983,2019-07-05,1
ai_tw,2,86,2019-07-05,2
ai_tw,1,0,2019-07-05,3
ai_tw,8,2017,2019-07-05,8
ai_tw,19,655,2019-07-05,9
ai_tw,92,7799,2019-07-05,10
ai_tw,51,4186,2019-07-05,11
ai_tw,7,103,2019-07-05,12
ai_tw,3,1354,2019-07-05,13
ai_tw,25,3853,2019-07-05,14
ai_tw,12,1283,2019-07-05,15
ai_tw,32,681,2019-07-05,16
ai_tw,31,6632,2019-07-05,17
ai_tw,20,2409,2019-07-05,18
ai_tw,11,457,2019-07-05,19
ai_tw,12,1736,2019-07-05,20
ai_tw,8,3115,2019-07-05,21
ai_tw,20,1300,2019-07-05,22
ai_tw,5,268,2019-07-05,23
ai_tw,3,1227,2019-07-06,0
ai_tw,12,2130,2019-07-06,1
ai_tw,6,584,2019-07-06,2
ai_tw,2,1074,2019-07-06,6
ai_tw,1,0,2019-07-06,7
ai_tw,3,550,2019-07-06,8
ai_tw,6,93,2019-07-06,9
ai_tw,18,4016,2019-07-06,10
ai_tw,16,1962,2019-07-06,11
ai_tw,9,3613,2019-07-06,12
ai_tw,11,2585,2019-07-06,13
ai_tw,11,3785,2019-07-06,14
ai_tw,20,2302,2019-07-06,15
ai_tw,63,6623,2019-07-06,16
ai_tw,92,5133,2019-07-06,17
ai_tw,12,152,2019-07-06,18
ai_tw,23,2860,2019-07-06,19
ai_tw,13,2420,2019-07-06,20
ai_tw,5,21,2019-07-06,21
ai_tw,12,522,2019-07-06,22
ai_tw,16,2595,2019-07-06,23
